source,target
0,0
0,431
0,680
0,208
0,998
1,1
1,641
1,519
1,741
1,171
2,2
2,277
2,438
2,292
2,849
3,3
3,950
3,820
3,445
3,359
4,4
4,374
4,378
4,186
4,709
5,5
5,755
5,65
5,18
5,949
6,6
6,632
6,437
6,132
6,46
7,7
7,312
7,612
7,281
7,311
8,8
8,173
8,774
8,605
8,682
9,9
9,469
9,82
9,303
9,947
10,10
10,338
10,321
10,565
10,678
11,11
11,136
11,659
11,643
11,465
12,12
12,217
12,236
12,230
12,582
13,13
13,257
13,936
13,393
13,475
14,14
14,770
14,482
14,920
14,983
15,15
15,924
15,295
15,867
15,844
16,16
16,917
16,874
16,391
16,419
17,17
17,816
17,829
17,304
17,880
18,18
18,231
18,755
18,65
18,949
19,19
19,293
19,92
19,602
19,367
20,20
20,323
20,160
20,51
20,471
21,21
21,805
21,143
21,703
21,688
22,22
22,239
22,372
22,720
22,707
23,23
23,265
23,446
23,633
23,430
24,24
24,585
24,622
24,743
24,545
25,25
25,670
25,863
25,701
25,687
26,26
26,77
26,825
26,206
26,881
27,27
27,616
27,939
27,584
27,900
28,28
28,567
28,260
28,464
28,505
29,29
29,648
29,263
29,273
29,960
30,30
30,845
30,814
30,784
30,734
31,31
31,114
31,91
31,326
31,57
32,32
32,590
32,140
32,368
32,204
33,33
33,837
33,428
33,790
33,898
34,34
34,96
34,463
34,202
34,396
35,35
35,484
35,700
35,945
35,449
36,36
36,887
36,653
36,251
36,292
37,37
37,166
37,404
37,400
37,781
38,38
38,298
38,74
38,283
38,831
39,39
39,416
39,960
39,486
39,810
40,40
40,314
40,586
40,742
40,45
41,41
41,870
41,627
41,636
41,619
42,42
42,822
42,873
42,532
42,692
43,43
43,343
43,760
43,121
43,994
44,44
44,335
44,88
44,759
44,643
45,45
45,309
45,199
45,203
45,40
46,46
46,627
46,132
46,437
46,6
47,47
47,395
47,871
47,911
47,948
48,48
48,524
48,965
48,441
48,219
49,49
49,951
49,673
49,387
49,649
50,50
50,876
50,568
50,455
50,58
51,51
51,323
51,248
51,876
51,160
52,52
52,340
52,792
52,937
52,319
53,53
53,883
53,490
53,297
53,281
54,54
54,449
54,118
54,700
54,183
55,55
55,410
55,812
55,748
55,839
56,56
56,504
56,441
56,565
56,678
57,57
57,113
57,31
57,313
57,215
58,58
58,802
58,50
58,439
58,455
59,59
59,259
59,854
59,929
59,453
60,60
60,213
60,246
60,650
60,371
61,61
61,302
61,354
61,942
61,592
62,62
62,691
62,713
62,843
62,679
63,63
63,995
63,738
63,614
63,349
64,64
64,910
64,383
64,232
64,591
65,65
65,949
65,755
65,895
65,231
66,66
66,176
66,839
66,812
66,771
67,67
67,791
67,591
67,222
67,232
68,68
68,125
68,779
68,184
68,361
69,69
69,909
69,278
69,209
69,456
70,70
70,645
70,530
70,523
70,225
71,71
71,772
71,285
71,583
71,588
72,72
72,164
72,489
72,127
72,353
73,73
73,186
73,802
73,4
73,709
74,74
74,298
74,38
74,514
74,283
75,75
75,966
75,508
75,733
75,500
76,76
76,756
76,687
76,347
76,670
77,77
77,26
77,825
77,206
77,906
78,78
78,195
78,307
78,146
78,137
79,79
79,746
79,759
79,492
79,990
80,80
80,954
80,174
80,106
80,525
81,81
81,827
81,478
81,247
81,667
82,82
82,469
82,9
82,303
82,576
83,83
83,836
83,189
83,126
83,162
84,84
84,150
84,941
84,646
84,424
85,85
85,529
85,963
85,288
85,994
86,86
86,806
86,106
86,542
86,129
87,87
87,655
87,928
87,632
87,229
88,88
88,643
88,659
88,335
88,669
89,89
89,904
89,539
89,807
89,337
90,90
90,198
90,862
90,896
90,497
91,91
91,351
91,31
91,114
91,642
92,92
92,398
92,348
92,19
92,750
93,93
93,532
93,539
