id,INTEGER label
0,9
1,0
2,0
3,3
4,0
5,2
6,7
7,2
8,5
9,5
10,0
11,9
12,5
13,5
14,7
15,9
16,1
17,0
18,6
19,4
20,3
21,1
22,4
23,8
24,4
25,3
26,0
27,2
28,4
29,4
30,5
31,3
32,6
33,6
34,0
35,8
36,5
37,2
38,1
39,6
40,6
41,7
42,9
43,5
44,9
45,2
46,7
47,3
48,0
49,3
50,3
51,3
52,7
53,2
54,2
55,6
56,6
57,8
58,3
59,3
60,5
61,0
62,5
63,5
64,0
65,2
66,0
67,0
68,4
69,1
70,3
71,1
72,6
73,3
74,1
75,4
76,4
77,6
78,1
79,9
80,1
81,3
82,5
83,7
84,9
85,7
86,1
87,7
88,9
89,9
90,9
91,3
92,2
93,9
94,3
95,6
96,4
97,1
98,1
99,8
100,8
101,0
102,1
103,1
104,6
105,8
106,1
107,9
108,7
109,8
110,8
111,9
112,6
113,6
114,3
115,1
116,5
117,4
118,6
119,7
120,5
121,5
122,9
123,2
124,2
125,2
126,7
127,6
128,4
129,1
130,8
131,7
132,7
133,5
134,4
135,2
136,9
137,1
138,7
139,4
140,6
141,9
142,7
143,1
144,8
145,7
146,1
147,2
148,8
149,0
150,9
151,1
152,8
153,7
154,0
155,5
156,8
157,6
158,7
159,2
160,0
161,8
162,7
163,1
164,6
165,2
166,1
167,9
168,6
169,0
170,1
171,0
172,5
173,5
174,1
175,7
176,0
177,5
178,8
179,4
180,0
181,4
182,0
183,6
184,6
185,4
186,0
187,0
188,4
189,7
190,3
191,0
192,5
193,8
194,4
195,1
196,1
197,2
198,9
199,2
200,8
201,5
202,0
203,6
204,3
205,4
206,6
207,0
208,9
209,1
210,7
211,3
212,8
213,5
214,8
215,3
216,8
217,5
218,2
219,0
220,8
221,7
222,0
223,3
224,5
225,0
226,6
227,5
228,2
229,7
230,5
231,2
232,6
233,8
234,2
235,6
236,8
237,0
238,4
239,4
240,4
241,4
242,4
243,1
244,5
245,6
246,5
247,3
248,3
249,7
250,3
251,3
252,6
253,2
254,8
255,4
256,6
257,5
258,9
259,3
260,2
261,3
262,2
263,4
264,4
265,8
266,2
267,5
268,3
269,0
270,7
271,2
272,0
273,2
274,5
275,7
276,2
277,3
278,1
279,7
280,6
281,2
282,9
283,1
284,9
285,1
286,1
287,8
288,7
289,8
290,4
291,2
292,6
293,6
294,7
295,9
296,4
297,6
298,1
299,9
300,5
301,6
302,0
303,5
304,0
305,1
306,6
307,1
308,1
309,6
310,7
311,4
312,4
313,8
314,6
315,4
316,6
317,9
318,3
319,7
320,5
321,0
322,8
323,3
324,4
325,0
326,3
327,3
328,2
329,0
330,1
331,0
332,3
333,8
334,3
335,9
336,1
337,9
338,0
339,4
340,7
341,7
342,8
343,5
344,6
345,5
346,6
347,8
348,2
349,5
350,2
351,3
352,1
353,6
354,0
355,7
356,8
357,7
358,8
359,1
360,9
361,6
362,4
363,5
364,7
365,1
366,7
367,6
368,6
369,7
370,3
371,5
372,8
373,7
374,3
375,3
376,9
377,0
378,3
379,1
380,6
381,4
382,7
383,0
384,5
385,1
386,5
387,4
388,4
389,5
390,9
391,1
392,0
393,5
394,8
395,3
396,4
397,4
398,2
399,4
400,2
401,5
402,6
403,7
404,2
405,2
406,5
407,3
408,8
409,8
410,6
411,8
412,4
413,4
414,1
415,0
416,2
417,7
418,1
419,1
420,8
421,8
422,2
423,7
424,9
425,7
426,4
427,1
428,2
429,0
430,8
431,9
432,1
433,4
434,9
435,5
436,6
437,7
438,0
439,3
440,2
441,0
442,4
443,1
444,0
445,0
446,8
447,7
448,0
449,2
450,9
451,9
452,1
453,3
454,8
455,3
456,1
457,4
458,8
459,5
460,1
461,8
462,2
463,4
464,4
465,9
466,5
467,5
468,4
469,5
470,6
471,3
472,7
473,4
474,9
475,5
476,8
477,9
478,3
479,9
480,6
481,4
482,7
483,2
484,2
485,6
486,4
487,8
488,3
489,0
490,2
491,8
492,9
493,0
494,8
495,6
496,3
497,9
498,1
499,6
500,3
501,2
502,6
503,1
504,0
505,2
506,6
507,2
508,3
509,3
510,9
511,1
512,7
513,9
514,1
515,1
516,0
517,1
518,7
519,0
520,8
521,5
522,0
523,6
524,0
525,1
526,6
527,6
528,8
529,7
530,0
531,9
532,9
533,9
534,7
535,4
536,3
537,9
538,5
539,9
540,1
541,4
542,1
543,6
544,2
545,2
546,2
547,7
548,7
549,6
550,3
551,7
552,5
553,8
554,6
555,4
556,8
557,4
558,7
559,8
560,6
561,5
562,9
563,9
564,0
565,0
566,2
567,4
568,3
569,7
570,9
571,3
572,1
573,9
574,2
575,7
576,5
577,5
578,4
579,8
580,2
581,7
582,8
583,1
584,2
585,6
586,6
587,8
588,1
589,9
590,6
591,0
592,0
593,5
594,9
595,3
596,3
597,7
598,6
599,1
600,0
601,0
602,6
603,4
604,7
605,5
606,9
607,7
608,9
609,3
610,8
611,8
612,4
613,8
614,5
615,4
616,2
617,2
618,7
619,7
620,5
621,8
622,4
623,6
624,9
625,4
626,3
627,7
628,8
629,7
630,8
631,3
632,7
633,8
634,4
635,7
636,7
637,2
638,2
639,0
640,0
641,0
642,3
643,9
644,1
645,0
646,9
647,8
648,4
649,3
650,9
651,9
652,9
653,8
654,8
655,5
656,4
657,5
658,4
659,9
660,8
661,8
662,0
663,9
664,2
665,0
666,7
667,3
668,7
669,9
670,3
671,8
672,4
673,3
674,7
675,8
676,1
677,4
678,0
679,7
680,9
681,8
